State,Week,1,2,3,4,5
MA,week3,29.17%,4.17%,45.83%,0.00%,20.83%
MA,week4,41.30%,4.35%,30.43%,0.00%,23.91%
MA,week5,30.00%,7.50%,42.50%,2.50%,17.50%
MD,week1,30.14%,5.48%,39.73%,2.74%,21.92%
MD,week2,25.00%,8.33%,33.33%,8.33%,25.00%
MD,week3,58.33%,0.00%,16.67%,0.00%,25.00%
MD,week4,24.00%,4.00%,44.00%,4.00%,24.00%
MD,week5,25.00%,8.33%,50.00%,0.00%,16.67%
ME,week1,20.00%,6.67%,33.33%,0.00%,40.00%
ME,week2,40.00%,0.00%,20.00%,0.00%,40.00%
ME,week3,0.00%,100.00%,0.00%,0.00%,0.00%
ME,week4,20.00%,0.00%,20.00%,0.00%,60.00%
ME,week5,0.00%,0.00%,75.00%,0.00%,25.00%
MI,week1,28.57%,8.16%,36.73%,4.08%,22.45%
MI,week2,10.00%,10.00%,40.00%,10.00%,30.00%
MI,week3,30.77%,0.00%,38.46%,7.69%,23.08%
MI,week4,26.67%,6.67%,40.00%,0.00%,26.67%
MI,week5,45.45%,18.18%,27.27%,0.00%,9.09%
MN,week1,37.50%,8.33%,31.25%,4.17%,18.75%
MN,week2,50.00%,0.00%,25.00%,0.00%,25.00%
MN,week3,41.67%,0.00%,25.00%,16.67%,16.67%
MN,week4,33.33%,33.33%,22.22%,0.00%,11.11%
MN,week5,31.58%,5.26%,42.11%,0.00%,21.05%
MO,week1,30.77%,10.26%,46.15%,7.69%,5.13%
MO,week2,25.00%,25.00%,50.00%,0.00%,0.00%
MO,week3,25.00%,25.00%,50.00%,0.00%,0.00%
MO,week4,20.00%,10.00%,50.00%,10.00%,10.00%
MO,week5,41.18%,0.00%,41.18%,11.76%,5.88%
MS,week1,20.00%,0.00%,40.00%,0.00%,40.00%
MS,week2,0.00%,0.00%,0.00%,0.00%,0.00%
MS,week3,33.33%,0.00%,33.33%,0.00%,33.33%
MS,week4,0.00%,0.00%,50.00%,0.00%,50.00%
MS,week5,0.00%,0.00%,0.00%,0.00%,0.00%
MT,week1,50.00%,0.00%,0.00%,0.00%,50.00%
MT,week2,0.00%,0.00%,0.00%,0.00%,0.00%
MT,week3,50.00%,0.00%,0.00%,0.00%,50.00%
MT,week4,0.00%,0.00%,0.00%,0.00%,0.00%
MT,week5,0.00%,0.00%,0.00%,0.00%,0.00%
NC,week1,30.65%,8.06%,46.77%,1.61%,12.90%
NC,week2,30.77%,7.69%,46.15%,0.00%,15.38%
NC,week3,38.46%,7.69%,23.08%,7.69%,23.08%
NC,week4,26.09%,0.00%,69.57%,0.00%,4.35%
